,average,sd,ratio,ava,avb,cumsum,p
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__AT.s2.59.f__.g__,0.000678829,0.000974528,0.696571777,6.4,0,0.939909223,0.001
d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Planctomycetales.f__Rubinisphaeraceae.g__Planctomicrobium,0.000644888,0.00042967,1.500891468,6.2,0.2,0.940617544,0.353
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Tistrellales.f__Geminicoccaceae.g__uncultured,0.000636402,0.000681228,0.934198733,6,0,0.941316545,0.154
d__Bacteria.k__.p__Bacteroidota.c__SJA.28.o__.f__.g__,0.000636402,0.000795503,0.8,6,0,0.942015546,0.001
d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Aquibacter,0.00063216,0.001183285,0.534240954,6,0.2,0.942709887,0.024
d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Chitinophagales.f__uncultured.g__,0.000615189,0.0005321,1.15615256,5.8,0,0.943385588,0.004
d__Bacteria.k__.p__Desulfobacterota.c__Desulfobacteria.o__Desulfobacterales.f__Desulfosarcinaceae.g__Desulfosarcina,0.000615189,0.001202353,0.511654066,5.8,0,0.944061288,0.001
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Cellvibrionales.f__Halieaceae.g__Halioglobus,0.000572762,0.000110398,5.188152183,5.4,0,0.944690389,0.041
d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Tenacibaculum,0.000572762,0.000773393,0.74058352,2,4.2,0.94531949,0.262
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methyloligellaceae.g__uncultured,0.000572762,0.00053736,1.065881746,5.4,0,0.945948591,0.001
d__Bacteria.k__.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__uncultured,0.000568519,0.000560318,1.014637261,0.4,5.6,0.946573032,0.002
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae.g__Nitratireductor,0.000551549,0.000500317,1.102397795,5.2,0,0.947178832,0.001
d__Bacteria.k__.p__Desulfobacterota.c__Desulfobulbia.o__Desulfobulbales.f__Desulfocapsaceae.__,0.000551549,0.000880527,0.626384802,5.2,0,0.947784633,0.001
d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Planctomycetales.f__Rubinisphaeraceae.g__uncultured,0.000530335,0.000783629,0.676768252,5,0,0.948367134,0.018
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.g__Parasphingopyxis,0.000530335,0.000882122,0.601203612,5,0,0.948949635,0.062
d__Bacteria.k__.p__Chloroflexi.c__Anaerolineae.o__Anaerolineales.f__Anaerolineaceae.g__uncultured,0.000526092,0.000861954,0.610348869,5,0.2,0.949527475,0.002
d__Bacteria.k__.p__Actinobacteriota.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae.g__uncultured,0.00052185,0.000416372,1.253325233,2.2,6,0.950100656,0.002
d__Bacteria.k__.p__Desulfobacterota.c__Desulfobulbia.o__Desulfobulbales.f__Desulfocapsaceae.g__Desulforhopalus,0.000509122,0.00103924,0.489897949,4.8,0,0.950659857,0.001
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Stappiaceae.g__Labrenzia,0.000509122,0.000407358,1.249813545,4.8,0,0.951219058,0.185
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiales_Incertae_Sedis.g__Anderseniella,0.000496394,0.000582339,0.852413296,4.6,0.8,0.951764278,0.002
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Limibaculum,0.000487908,0.00053736,0.907973339,4.6,0,0.952300179,0.026
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Defluviimonas,0.000487908,0.000889004,0.548825987,4.6,0,0.95283608,0.034
d__Bacteria.k__.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus,0.000483666,0.000389811,1.240768478,1.6,5.2,0.95336732,0.656
d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Pirellulales.f__Pirellulaceae.g__uncultured,0.00047518,0.000376401,1.262431041,3.2,5.6,0.953889241,0.009
d__Bacteria.k__.p__SAR324_clade.Marine_group_B..c__.o__.f__.g__,0.000462452,0.000486908,0.949773113,4.4,0.2,0.954397182,0.258
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__uncultured,0.000445482,0.000220796,2.017614738,4.2,0,0.954886482,0.11
