,average,sd,ratio,ava,avb,cumsum,p
d__Bacteria.k__.p__SAR324_clade.Marine_group_B..c__.o__.f__,0.000462452,0.000486908,0.949773113,4.4,0.2,0.973788042,0.269
d__Bacteria.k__.p__Latescibacterota.c__.o__.f__,0.000445482,0.000389715,1.143095213,4.2,0,0.974287181,0.001
d__Bacteria.k__.p__Planctomycetota.c__vadinHA49.o__.f__,0.000428511,0.000632323,0.677676855,1.2,3.4,0.974767306,0.016
d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Cyanobacteriales.f__Geitlerinemaceae,0.000424268,0.000812988,0.521862458,4,0,0.975242677,0.475
d__Bacteria.k__.p__Planctomycetota.c__Phycisphaerae.o__CCM11a.f__,0.000424268,0.000488945,0.867721831,4,0,0.975718048,0.001
d__Bacteria.k__.p__Chloroflexi.c__Anaerolineae.o__Ardenticatenales.f__Ardenticatenaceae,0.000394569,0.000386721,1.02029555,3,2.8,0.976160143,0.229
d__Bacteria.k__.p__Patescibacteria.c__Gracilibacteria.o__.f__,0.000386084,0.000371083,1.04042475,1,4,0.976592731,0.734
d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Cryomorphaceae,0.000377599,0.000339691,1.111595749,4.2,1.2,0.977015811,0.095
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Alteromonadaceae,0.000360628,0.00040505,0.890328992,4.2,1.6,0.977419876,0.243
d__Bacteria.k__.p__Actinobacteriota.c__Actinobacteria.o__PeM15.f__,0.000360628,0.000425372,0.847795068,0,3.4,0.977823942,0.137
d__Bacteria.k__.p__Desulfobacterota.c__uncultured.o__.f__,0.000360628,0.000408507,0.882794338,3.4,0,0.978228007,0.001
d__Bacteria.k__.p__Fibrobacterota.c__Fibrobacteria.o__Fibrobacterales.f__Fibrobacteraceae,0.000360628,0.000295278,1.221316054,3.4,0,0.978632072,0.001
d__Bacteria.k__.p__Actinobacteriota.c__Acidimicrobiia.o__Microtrichales.f__Ilumatobacteraceae,0.000352143,0.000200127,1.759596481,3.6,1.8,0.97902663,0.254
d__Bacteria.k__.p__Planctomycetota.c__Phycisphaerae.o__Phycisphaerales.f__Phycisphaeraceae,0.000343657,0.000324445,1.059215753,3.4,0.4,0.979411681,0.065
d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Thermosynechococcales.f__Acaryochloridaceae,0.000339415,0.00026868,1.263267254,3.2,0,0.979791978,0.125
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Cellvibrionales.f__Microbulbiferaceae,0.000335172,0.000325022,1.031227026,2.2,2,0.980167521,0.219
d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Chitinophagales.f__Chitinophagaceae,0.000330929,0.000243647,1.35823452,3,3,0.98053831,0.62
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Parvibaculales.f__PS1_clade,0.000330929,0.000417945,0.791799967,3.2,0.4,0.9809091,0.152
d__Bacteria.k__.p__Myxococcota.c__Polyangia.o__Nannocystales.f__Nannocystaceae,0.000296988,0.000371235,0.8,2.8,0,0.981241859,0.001
d__Bacteria.k__.p__Chloroflexi.c__Chloroflexia.o__Thermomicrobiales.f__AKYG1722,0.000296988,0.000377495,0.786732082,2.8,0,0.981574619,0.039
d__Bacteria.k__.p__Dadabacteria.c__Dadabacteriia.o__Dadabacteriales.f__,0.000288502,0.000297681,0.969164886,2.8,0.4,0.981897871,0.002
d__Bacteria.k__.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__,0.000280017,0.000492651,0.568388523,2.4,0.4,0.982211616,0.017
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Nitrosococcales.f__Nitrosococcaceae,0.000275774,0.000233187,1.182632948,2.6,0,0.982520607,0.001
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__MBAE14.f__,0.000275774,0.000457238,0.603130845,2.6,0,0.982829599,0.001
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__Terasakiellaceae,0.000254561,0.00051962,0.489897949,2.4,0,0.983114821,0.636
d__Bacteria.k__.p__Chloroflexi.c__Anaerolineae.o__SBR1031.f__,0.000254561,0.000146843,1.733556284,2.4,0,0.983400044,0.005
