"","average","sd","ratio","ava","avb","cumsum","p"
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Roseobacter",0.000190920661858294,0.000338196974786257,0.564525043368462,0,1.8,0.979233494769063,0.162
"d__Bacteria.k__.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Rubritaleaceae.g__Haloferula",0.000178192617734408,0.000234629614241791,0.759463456095429,1.6,0.4,0.97967377403191,0.423
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Vibrionales.f__Vibrionaceae.g__Enterovibrio",0.000169707254985151,0.000295278127006259,0.57473696648568,1.6,0,0.980093087615573,0.149
"d__Bacteria.k__.p__Planctomycetota.c__vadinHA49.o__.f__.g__",0.000169707254985151,0.000212134068731438,0.8,0,1.6,0.980512401199237,0.194
"d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Cytophagales.f__Cyclobacteriaceae.g__Fulvivirga",0.000169707254985151,0.000346413483635013,0.489897948556636,0,1.6,0.9809317147829,0.071
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhodomicrobiaceae.g__Rhodomicrobium",0.000169707254985151,0.000243030106860195,0.698297248755176,1.6,0,0.981351028366564,0.173
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Stappiaceae.g__Labrenzia",0.000156979210861264,0.000198716525192991,0.789965558771763,1.2,0.6,0.981738893431453,0.594
"d__Bacteria.k__.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Methylacidiphilales.f__Methylacidiphilaceae.g__uncultured",0.000152736529486636,0.000173423115095895,0.880716099478316,0.2,1.4,0.98211627565675,0.185
"d__Bacteria.k__.p__Firmicutes.c__Bacilli.o__Mycoplasmatales.f__Mycoplasmataceae.g__uncultured",0.000144251166737378,0.00013991202755911,1.03101333926731,1.6,0.4,0.982472692202864,0.999
"d__Bacteria.k__.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus",0.000131523122613492,0.000199093596737393,0.660609506125765,0.2,1.2,0.982797660230203,0.962
"d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Phormidesmiales.f__Phormidesmiaceae.g__Phormidesmis_ANT.LACV5.1",0.000127280441238863,0.00025981011272626,0.489897948556636,0,1.2,0.983112145417951,0.858
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Actibacterium",0.000127280441238863,0.000173206741817507,0.734846922834953,0,1.2,0.983426630605698,0.979
"d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Thermosynechococcales.f__Acaryochloridaceae.g__Acaryochloris_MBIC11017",0.000127280441238863,0.00025981011272626,0.489897948556636,0,1.2,0.983741115793446,0.394
"d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Cyanobacteriales.f__Xenococcaceae.g__uncultured",0.000127280441238863,0.000126245022425096,1.00820166050017,0.6,1,0.984055600981194,0.935
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Cellvibrionales.f__Halieaceae.g__Halioglobus",0.000106067034365719,0.000216508427271883,0.489897948556636,0,1,0.984317671970984,0.747
"d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Cyanobacteriales.__.__",0.000106067034365719,0.000136931952560013,0.774596669241483,0,1,0.984579742960773,0.556
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae.g__Roseitalea",0.000106067034365719,6.84659762800067e-05,1.54919333848297,0,1,0.984841813950563,0.726
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Paracaedibacterales.f__Paracaedibacteraceae.g__uncultured",0.000106067034365719,9.68255122163001e-05,1.09544511501033,0,1,0.985103884940353,0.054
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Roseovarius",0.000106067034365719,0.000136931952560013,0.774596669241483,0,1,0.985365955930142,0.481
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Cellvibrionales.f__Halieaceae.__",0.000106067034365719,0.000216508427271883,0.489897948556636,0,1,0.985628026919932,0.845
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Gven.F17.g__",0.000106067034365719,0.000167706706627513,0.632455532033676,0,1,0.985890097909722,0.187
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Defluviimonas",0.000106067034365719,0.000167706706627513,0.632455532033676,0,1,0.986152168899512,0.156
"d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Synechococcales.f__Cyanobiaceae.g__Cyanobium_PCC.6307",0.00010182435299109,0.000116512919341565,0.873931865809542,0.6,0.6,0.98640375704971,0.963
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae.g__Ahrensia",9.75816716164616e-05,0.000161788448432295,0.603143627137865,0.2,0.8,0.986644862360316,0.779
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__Rhodospirillaceae.g__Haematospirillum",9.75816716164616e-05,0.000161788448432295,0.603143627137865,0.2,0.8,0.986885967670923,0.795
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Hyphomicrobiaceae.g__Filomicrobium",8.48536274925753e-05,0.000106067034365719,0.8,0,0.8,0.987095624462754,0.54
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Gammaproteobacteria_Incertae_Sedis.f__Unknown_Family.g__uncultured",8.48536274925753e-05,0.000173206741817507,0.489897948556636,0,0.8,0.987305281254586,0.785
"d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Aurantivirga",8.48536274925753e-05,8.10100356200651e-05,1.04744587313276,0.8,0,0.987514938046418,0.024
"d__Bacteria.k__.p__Bdellovibrionota.c__Oligoflexia.o__Oligoflexales.f__uncultured.g__",8.48536274925753e-05,8.10100356200651e-05,1.04744587313276,0,0.8,0.98772459483825,0.633
