"","average","sd","ratio","ava","avb","cumsum","p"
"d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Pirellulales.f__Pirellulaceae.g__Blastopirellula",0.00117734408145948,0.00158182376155007,0.744295357091974,11.5,1,0.928595810705974,0.47
"d__Bacteria.k__.p__Chloroflexi.c__Chloroflexia.o__Thermomicrobiales.f__JG30.KF.CM45.g__",0.00111370386084005,0.00116572194059988,0.955376940290698,10.5,0,0.93022498060512,0.001
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae.g__Fulvimarina",0.00111370386084005,0.000851670628496994,1.3076696830622,10.5,0,0.931854150504267,0.001
"d__Bacteria.k__.p__Bacteroidota.c__Rhodothermia.o__Rhodothermales.f__Rhodothermaceae.g__Rubrivirga",0.00110309715740348,0.00124381763318324,0.886864061076526,0,10.4,0.933467804499612,0.009
"d__Bacteria.k__.p__WPS.2.c__.o__.f__.g__",0.00109779380568519,0.000762747785926945,1.43926187127646,10.75,0.8,0.935073700543057,0.088
"d__Bacteria.k__.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus",0.00108718710224862,0.00167631663153172,0.648557129243067,10.25,0.2,0.9366640806827,0.545
"d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Synechococcales.f__Cyanobiaceae.g__Cyanobium_PCC.6307",0.00106597369537548,0.00118185172532008,0.901952142166376,7.25,6.2,0.93822342901474,0.527
"d__Bacteria.k__.p__Planctomycetota.c__Phycisphaerae.o__Tepidisphaerales.f__.g__",0.00106067034365719,0.00107948390820372,0.982571704493644,1,10.4,0.93977501939488,0.065
"d__Bacteria.k__.p__Actinobacteriota.c__Actinobacteria.o__Corynebacteriales.f__Mycobacteriaceae.g__Mycobacterium",0.00106067034365719,0.00150316899307663,0.705622819884179,10,0.4,0.941326609775019,0.003
"d__Bacteria.k__.p__Firmicutes.c__Bacilli.o__Mycoplasmatales.f__Mycoplasmataceae.g__Mycoplasma",0.00103415358506576,0.000402606414147353,2.56864657076046,9.75,0,0.942839410395656,1
"d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Planctomycetales.f__Rubinisphaeraceae.g__Planctomicrobium",0.000981120067882902,0.00174349611347208,0.562731433871138,9.25,0,0.944274631497285,0.305
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Caulobacterales.f__Hyphomonadaceae.g__Litorimonas",0.000981120067882902,0.00109574836350007,0.895388120634727,0.25,9.4,0.945709852598914,0.021
"d__Bacteria.k__.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Peptostreptococcaceae.g__Romboutsia",0.000981120067882902,0.00162027684786397,0.605526190895294,9.25,0,0.947145073700543,0.02
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae.g__Pseudahrensia",0.000975816716164616,0.000693908664989229,1.40626103318621,12,5.8,0.948572536850271,0.456
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.g__uncultured",0.000954603309291472,0.000830907924421918,1.14886774001537,8,6,0.949968968192397,0.038
"d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Nonlabens",0.000896266440390327,0.00116621707679354,0.768524538205674,7.25,2.4,0.951280062063615,0.331
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Caulobacterales.f__Hyphomonadaceae.__",0.000890963088672041,0.0015703653392721,0.567360388306214,0,8.4,0.952583397982932,0.14
"d__Bacteria.k__.p__Bdellovibrionota.c__Bdellovibrionia.o__Bacteriovoracales.f__Bacteriovoracaceae.g__Peredibacter",0.000864446330080611,0.000861881607626086,1.00297572477685,0.25,8.2,0.953847944142746,0.004
"d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Isosphaerales.f__Isosphaeraceae.g__uncultured",0.000768985999151464,0.00136652398082947,0.562731433871138,7.25,0,0.954972847168347,0.001
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Vibrionales.f__Vibrionaceae.g__Photobacterium",0.000742469240560034,0.00141720131769845,0.52389821494508,0,7,0.956058960434445,0.239
"d__Bacteria.k__.p__Bdellovibrionota.c__Oligoflexia.o__Oligoflexales.f__uncultured.g__",0.000715952481968604,0.000581844203768569,1.23048829451497,1.25,7,0.957106283941039,0.003
"d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Cytophagales.f__Cyclobacteriaceae.g__Catalinimonas",0.000678829019940602,0.00123617740344135,0.549135599834485,0,6.4,0.958099301784329,0.05
"d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Cyanobacteriales.__.__",0.000657615613067459,0.000649844268537984,1.01195877982729,6.5,1.2,0.959061287820015,0.016
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Caulobacterales.f__Parvularculaceae.g__Parvularcula",0.000657615613067459,0.000893140252369652,0.736296019939414,0,6.2,0.960023273855702,0.18
"d__Bacteria.k__.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Anaerobacillus",0.000657615613067459,0.000820582122771661,0.801401340363407,2.5,5.8,0.960985259891389,0.425
"d__Bacteria.k__.p__Firmicutes.__.__.__.__",0.000652312261349173,0.000736684795566902,0.885469966632334,0.75,6,0.961939487975174,0.895
"d__Bacteria.k__.p__Bacteroidota.c__Rhodothermia.o__Rhodothermales.f__Rhodothermaceae.g__",0.000636402206194315,0.000567548624573558,1.1213175023946,0,6,0.962870442203258,0.003
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Granulosicoccales.f__Granulosicoccaceae.g__Granulosicoccus",0.000620492151039457,0.000456892453828051,1.35807047334815,1.75,6.4,0.96377812257564,0.029
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Cellvibrionales.f__Spongiibacteraceae.g__BD1.7_clade",0.000615188799321171,0.00126234078109756,0.487339717240448,0,5.8,0.964678044996121,0.157
"d__Bacteria.k__.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Rubritaleaceae.g__Haloferula",0.000609885447602885,0.000962248598052555,0.63381276817363,5.75,0,0.965570209464701,0.251
"d__Bacteria.k__.p__Actinobacteriota.c__Actinobacteria.o__Euzebyales.f__Euzebyaceae.g__Euzebya",0.000609885447602885,0.000621218163816427,0.981757268422546,5.75,1.2,0.966462373933281,0.002
