OTU ID	Mytilisepta.virgata	Cellana.toreuma	Siphonaria.laciniosa	Saccostrea.cucullata	Lunella.granulata	Echinolittorina.malaccana	Reishia.clavigera	Barbatia.virescens	Monodonta.labio
c6ba4f86a1739615ac450b984345e43d	4	0	0	0	0	0	0	0	0
86403537265d71e6e17f5cac3b13bbcf	0	0	0	0	2	0	0	0	4
53f3b4d5e9c306ae72ba5fa9c4cf0b7c	0	0	0	3	0	0	0	0	0
7bdb629e27dd11d460c5ea3cd32fc6dd	0	2	21	0	0	0	0	0	0
e6c35b05efc0f92235d0b69ac6021471	0	0	0	0	0	0	0	1454	0
74e1f1813f7b2801bc94324290d6daab	6	0	0	0	0	0	0	3	0
923c5853a239680819bad57a383ebffe	0	0	3	0	0	0	0	0	0
5dc516c5aadcbb0a1b9bd44a8934a572	11	2	12	4	32	0	1	0	0
d8e64f54b6eb5419cffeeb589c3f1c99	6	0	0	0	0	0	0	0	0
c7dfec60c129bac0c1ebe391fa21de67	3069	0	0	0	0	0	0	0	0
f87bc2dec184a545a68d5dcf11272d3d	0	0	0	0	0	0	0	0	42
740a093879f0f91f8cdaef47e70d4d6c	0	0	2	0	0	0	0	0	0
02d7a25f17238a5b076a525901571306	2	0	0	0	0	0	0	0	0
69f774fc8f7d1f73c31939e080623b82	6	0	0	0	0	0	0	3	0
50b369b9d58325b65f4b77d799ffebd0	9	0	0	0	0	0	0	2	0
6dbe787e2a5378dd6efc3420f59212b5	0	0	0	56	0	0	0	0	0
35521d684b4f20dc5ee846a497fc3d38	11	0	0	0	0	0	0	0	0
763d3d5f99773fc879fc72c879e61188	0	0	341	0	0	0	0	0	3
30e29b6b1ff11d8881d8cfea662205db	32	51	1418	4	10	6	3041	8	2
d0eaba6cd00cfed9e5b6b86bfb87a214	0	42	190	0	0	28	0	0	0
ca2c5ceb1634abe91e7099846c794b51	0	0	0	11	0	0	0	1	0
a8803a7ebf7addbc788b4a6b26394954	0	14	744	0	25	5	968	0	0
f0a234444edd443be7d8d5d9d7af0d0b	1	0	0	0	0	0	0	2	0
18a9be0b4c0ce954180cd972e51f6a94	6	0	0	0	0	0	0	0	0
21c2a8e88b52e885cc7ac02b92df6140	0	0	3	0	0	0	0	0	0
01b87edbb5444bfddbfb4ed7785b0547	3	0	0	0	0	1	0	0	0
8d8644626a370d5eab112b6bc56d3681	0	0	0	23	0	0	0	0	0
332dd3937dc8cc77e1a0a2b2bca7c759	15	0	0	5	0	0	0	0	0
a6e43a51d29b3da93e5bb761f757c1d6	0	0	55	0	0	0	0	0	0
2a63e66d627d3271531498f589fd353e	18	0	0	0	0	0	0	0	0
c8b4543358bc99ea62433b4d297519cf	0	0	0	3	0	0	0	0	0
9680f8fba55ad1efd044a206d4e6fafc	0	0	0	0	0	11	0	0	0
099981671efec2a86b2baf6802fbf9bf	0	0	0	55	0	0	0	0	0
405150af9b8b7e7c466e3496dbd81d99	0	0	0	3	0	0	0	0	0
73fe03d8f3ffb05817c136efadd43c6f	1	0	0	0	0	0	0	3	0
4de8416d9cd10e97b68df1ca1493857b	1	0	1	5267	2	0	0	0	0
e4cfeca874614e02cd81f8f831366299	0	0	0	1	0	0	0	0	0
4c626cda01c2a566b08fb663e04f5b48	24	0	0	0	0	0	0	0	0
fe59a6bbd91a9ae550710626bd0027f4	0	0	0	0	0	0	0	0	33
03e5e272f85a5a498134956750d7899c	6	0	0	0	0	0	0	0	0
0c76243145ca6e7d6e139575a8ceaf2e	0	0	0	3	0	73	0	0	0
1e8af223b24191b24298e12e9f33a8f0	0	68	0	0	0	0	0	0	3
b902b7c9a617a84853b7f307126087ed	0	0	0	9	0	0	0	0	0
242d56e570c77c5242559802925f74f9	0	0	0	0	0	3	0	0	0
5b58a5021ded2f8d43c9551cb12430d6	2	0	0	0	0	0	0	2	0
8ae8b8f11a95b8d72214c2dc76c10c06	0	284	0	0	0	0	0	0	0
333e63279c305962590f6a20d127cac3	88	0	0	0	0	0	0	0	0
2e63a7dd5b9e51984515c711e2d9d914	5	0	7	0	0	0	0	0	0
976186016ef952ce88b961178e5ba44c	0	0	0	0	0	63	0	0	0
07c8a47eeba64d06c5408b4c5f79c155	0	0	0	4	0	0	0	0	0
b94a07a6b9eccb0c2932ba41fa58c8ea	3	0	0	0	0	0	0	0	0
08a1919679e1f2a447e3f6f148a592d0	2	0	0	0	0	0	0	1	0
d88d5021cbbaba0cc380702ca45e3dc6	123	0	0	809	0	0	0	0	0
706a7651cc281b71e758a91b92ae102a	3	1	9	0	0	0	0	1	4
34a13d7e7387a7025a497bbea9c9ae3e	8	0	0	0	0	0	0	0	0
9d4c2eaf8dd5f167173777b90ddc01f6	0	0	0	0	0	4	0	0	0
63a48bf0515b0e1286a87739feadee91	0	0	0	0	0	0	0	0	14
7fe59f5a14bc7d74ec5335b452da7dce	0	0	0	0	0	0	0	0	45
c070e5100f52ecba68a6862861474d9c	6	0	0	0	0	0	0	1	0
7bb7e1efea7aa322dca84cdfe974bc95	0	0	0	0	0	5	0	0	0
18799f3b92f191c3074ecd6ac50ee1c3	3	0	0	3	0	0	0	0	0
3f4aceac910e476c8b115184af4e718c	2	5	3654	0	0	0	0	0	0
51f3067fea468ed07dc91dd8ea04ca5e	0	0	5	0	4	0	0	0	11
1be904de62e21310722195c98d889c94	3	0	0	0	0	0	0	5	0
ba4d8fed867973234721f374fe690d9a	5	0	0	0	0	0	0	12	0
de3e18b49d4fbfeb284f3f35011fc876	0	0	10	0	0	0	0	0	0
139f34444def0ecf4909f4eb15f85311	0	0	0	0	0	0	8	0	0
05b94c3af431f9c64711dd5eea845dbc	0	0	0	0	0	0	0	4	0
5a24f4162ce9ed1ae5fda9cc05dc61bf	24	0	0	0	0	0	13	0	0
076c80ea4cba551d115828e9cad72bf7	2	0	0	0	0	0	0	0	0
c02b5dc3325cc28ddf89b64f82e08e98	4	0	0	0	0	1	0	0	0
2ce358904748bfc10a3312220dc84844	0	0	41	0	0	0	0	0	0
25f3c0f09eb6311ac87733d60ee73293	7	0	0	0	0	0	0	0	0
0fcfacf84f815daa6969b3859ef448d3	3	0	4	0	0	0	0	0	0
e26aeb4b5bbfea417da34f2d723498f9	0	0	7	0	0	0	0	0	1
8777f45cbdc8b46f275d3f191b0af603	2	0	0	0	3	0	0	0	0
66d947b5e50d52f347773b06fb6be9e9	0	0	0	0	0	0	0	0	15
