OTU ID	Cellana.toreuma	Saccostrea.mordax	Echinolittorina.malaccana	Mytilisepta.virgata	Tenguella.musiva	Echinolittorina.radiata	Isognomon.nucleus
2bfd2d84c1bca513047bf83fa23b4902	1	0	0	0	0	0	0
697223be9ebc643a6c42873de006c982	24	0	0	1	0	0	0
bf2abc19a5f269a5337f476e37c9d89c	0	0	7	0	0	4	0
2000e55a802d89ce63a6193f9f712400	0	0	0	2	0	0	0
3899acb07bbd5cdd872c24c734cf7652	12	0	0	0	0	0	0
bc53641178926a96d420103814c34bc8	0	0	0	0	0	6	0
6e5c9f74ae9046dcde542c6c557bd5b8	0	3	0	0	12	0	0
22c20bba2433f6013a43e7a4a9f0086b	0	0	0	0	0	0	19
9d8358b866658da57abfdcd1395d43d9	0	0	9	0	0	45	0
9a7bd877a5e311955f5656b3c63b5a5f	13	0	0	0	0	0	0
f7c7cf5d973927b9b5e8010776df0cdf	6	0	0	0	0	0	0
66d9994d636237146fd8967f75938da5	0	0	0	0	16	0	0
8da1c092898bf22e27aef59995aaa4ae	2	0	0	0	0	0	0
4fb4774ef9c6d29eeca8d4bae7aa9437	1	0	0	0	0	0	0
aea00c515296942f3e68bc24456a29f2	0	5	0	0	0	0	2
327b63cb560f9915a46909e57d968f8d	0	0	93	0	0	560	0
09ee00de08f8d54a02caef7108831b3f	4	0	0	0	0	0	0
9e88084b460270c82337b15a7bc39758	5	0	0	0	0	0	0
6373fc393e6757eeccd5c9382c052702	17	0	0	0	0	0	0
3aeef5c4de98b30b888746d3b988a855	0	0	0	0	3	16	0
0ed40dd8de75365d5bb39607dcc46f6e	9	0	0	0	0	0	0
4e6590e242df4b99c6d69c53e8f57be7	0	0	0	0	0	434	16
cdafb2e80467fb58d747f82e62d847c7	0	0	0	0	0	0	3
8ee0b02021d8756f74318408a6623e8b	0	0	1	4	0	0	0
1d4264b261a22d2a94ba4a7240566b00	0	0	0	0	0	29	0
977bf7e1a1d49b32655b807c17081dca	2	0	0	0	0	0	0
dd2d7dc7c5569b9a3a3e39281f0cebbc	0	0	0	0	0	33	14
3184f593d626f1543aa4cfdb6246703e	0	0	235	0	0	2	0
f7e2ec47875060ae794f7a9bd7efc7b3	0	0	51	0	0	5	0
1afa7f76b0fe8f53b7616d2e711bac4b	0	0	46	0	0	231	0
a62533954794aa148c497237c799a38a	0	0	13	0	0	0	0
fd91778073452fe9c5f5c7dc3c599e64	9	0	22	0	0	29	0
a9cb2bde07d2f721c0072649cfb2db38	42	0	0	0	0	0	0
192dc73a10edc6dc3946468c52315b08	7	0	0	0	0	0	0
7375c21812ac6d907c750b44666f10f6	0	2	0	10	0	0	0
