OTU ID	Mytilisepta.virgata	Cellana.toreuma	Siphonaria.laciniosa	Saccostrea.cucullata	Lunella.granulata	Echinolittorina.malaccana	Reishia.clavigera	Barbatia.virescens	Monodonta.labio	Saccostrea.mordax	Tenguella.musiva	Echinolittorina.radiata	Isognomon.nucleus
6373fc393e6757eeccd5c9382c052702	0	9	2	0	0	0	0	0	0	0	0	0	0
3aeef5c4de98b30b888746d3b988a855	0	0	0	0	0	0	0	0	0	0	3	16	0
0ed40dd8de75365d5bb39607dcc46f6e	0	5	0	0	0	0	0	0	0	0	0	0	0
4e6590e242df4b99c6d69c53e8f57be7	0	0	0	2	0	0	0	0	0	0	0	434	16
cdafb2e80467fb58d747f82e62d847c7	2	0	0	0	0	0	0	0	0	0	0	0	3
e5ba2745d18d3589d8bfe71330be75fc	0	0	0	0	0	3	0	0	0	0	0	0	0
8ee0b02021d8756f74318408a6623e8b	2	0	3	0	0	1	0	0	0	0	0	0	0
1d4264b261a22d2a94ba4a7240566b00	0	3	0	0	0	0	0	0	0	0	0	29	0
3c69aea6244777e50e4adb4a9798f354	4	0	0	0	0	0	0	0	0	0	0	0	0
3b859e5d0fafa21c6ce51c9b45c104c5	11	0	0	0	0	0	0	0	0	0	0	0	0
f58ea92be9ddd2dcfa091e2e6066ae8d	0	22	0	0	0	0	0	0	0	0	0	0	0
977bf7e1a1d49b32655b807c17081dca	5	1	0	0	0	0	0	0	0	0	0	0	0
dd2d7dc7c5569b9a3a3e39281f0cebbc	0	0	0	0	0	0	0	0	0	0	0	33	14
3184f593d626f1543aa4cfdb6246703e	0	0	0	0	0	134	0	0	0	0	0	2	0
f7e2ec47875060ae794f7a9bd7efc7b3	0	0	0	0	0	29	0	0	0	0	0	5	0
1afa7f76b0fe8f53b7616d2e711bac4b	0	0	0	0	0	26	0	0	0	0	0	231	0
2e29e9f54fbbbf9cbcd39f51d456c51e	0	0	0	2	2889	0	0	0	158	0	0	0	0
a62533954794aa148c497237c799a38a	0	0	0	1	0	7	0	0	0	0	0	0	0
44599598bdd6a3c52684d7645af4f244	3	0	0	0	0	0	0	0	0	0	0	0	0
8ebcc1579659835f2c02653116566923	0	0	0	0	0	0	0	60	0	0	0	0	0
